Sample ID	Method ID	Taxa-Level	Taxa-Name	# of Reads	% of Total	Avg-Score
10_D_B02_2010_12_17_2	2	rootrank	Root	3989	100.00	1.00
10_D_B02_2010_12_17_2	2	domain	Bacteria	3989	100.00	1.00
10_D_B02_2010_12_17_2	2	phylum	Spirochaetes	363	9.10	0.99
10_D_B02_2010_12_17_2	2	phylum	TM7	3	0.08	1.00
10_D_B02_2010_12_17_2	2	phylum	Proteobacteria	19	0.48	1.00
10_D_B02_2010_12_17_2	2	phylum	Firmicutes	385	9.65	1.00
10_D_B02_2010_12_17_2	2	phylum	Bacteroidetes	2493	62.50	1.00
10_D_B02_2010_12_17_2	2	phylum	Chloroflexi	1	0.03	0.97
10_D_B02_2010_12_17_2	2	phylum	Actinobacteria	221	5.54	1.00
10_D_B02_2010_12_17_2	2	phylum	Tenericutes	5	0.13	1.00
10_D_B02_2010_12_17_2	2	phylum	SR1	3	0.08	1.00
10_D_B02_2010_12_17_2	2	phylum	Fusobacteria	319	8.00	1.00
10_D_B02_2010_12_17_2	2	phylum	Synergistetes	82	2.06	0.94
10_D_B02_2010_12_17_2	2	class	Spirochaetes	363	9.10	0.99
10_D_B02_2010_12_17_2	2	class	Betaproteobacteria	6	0.15	1.00
10_D_B02_2010_12_17_2	2	class	Bacteroidia	2422	60.72	1.00
10_D_B02_2010_12_17_2	2	class	Flavobacteria	9	0.23	1.00
10_D_B02_2010_12_17_2	2	class	Epsilonproteobacteria	10	0.25	1.00
10_D_B02_2010_12_17_2	2	class	Actinobacteria	221	5.54	1.00
10_D_B02_2010_12_17_2	2	class	Mollicutes	5	0.13	1.00
10_D_B02_2010_12_17_2	2	class	Sphingobacteria	1	0.03	0.91
10_D_B02_2010_12_17_2	2	class	Bacilli	2	0.05	1.00
10_D_B02_2010_12_17_2	2	class	Erysipelotrichia	7	0.18	1.00
10_D_B02_2010_12_17_2	2	class	Anaerolineae	1	0.03	0.97
10_D_B02_2010_12_17_2	2	class	Fusobacteria	319	8.00	1.00
10_D_B02_2010_12_17_2	2	class	Clostridia	321	8.05	0.99
10_D_B02_2010_12_17_2	2	class	Synergistia	82	2.06	0.94
10_D_B02_2010_12_17_2	2	class	Negativicutes	52	1.30	0.99
10_D_B02_2010_12_17_2	2	class	Deltaproteobacteria	3	0.08	0.94
10_D_B02_2010_12_17_2	2	subclass	Actinobacteridae	147	3.69	0.99
10_D_B02_2010_12_17_2	2	subclass	Coriobacteridae	71	1.78	1.00
10_D_B02_2010_12_17_2	2	suborder	Micrococcineae	3	0.08	0.88
10_D_B02_2010_12_17_2	2	suborder	Coriobacterineae	71	1.78	1.00
10_D_B02_2010_12_17_2	2	suborder	Corynebacterineae	10	0.25	0.97
10_D_B02_2010_12_17_2	2	suborder	Actinomycineae	94	2.36	0.98
10_D_B02_2010_12_17_2	2	order	Lactobacillales	2	0.05	1.00
10_D_B02_2010_12_17_2	2	order	Fusobacteriales	319	8.00	1.00
10_D_B02_2010_12_17_2	2	order	Flavobacteriales	9	0.23	1.00
10_D_B02_2010_12_17_2	2	order	Anaerolineales	1	0.03	0.97
10_D_B02_2010_12_17_2	2	order	Campylobacterales	10	0.25	1.00
10_D_B02_2010_12_17_2	2	order	Clostridiales	320	8.02	0.99
10_D_B02_2010_12_17_2	2	order	Synergistales	82	2.06	0.94
10_D_B02_2010_12_17_2	2	order	Erysipelotrichales	7	0.18	1.00
10_D_B02_2010_12_17_2	2	order	Spirochaetales	363	9.10	0.99
10_D_B02_2010_12_17_2	2	order	Neisseriales	6	0.15	1.00
10_D_B02_2010_12_17_2	2	order	Desulfobacterales	2	0.05	0.99
10_D_B02_2010_12_17_2	2	order	Mycoplasmatales	5	0.13	1.00
10_D_B02_2010_12_17_2	2	order	Selenomonadales	52	1.30	0.99
10_D_B02_2010_12_17_2	2	order	Sphingobacteriales	1	0.03	0.91
10_D_B02_2010_12_17_2	2	order	Bacteroidales	2422	60.72	1.00
10_D_B02_2010_12_17_2	2	order	Coriobacteriales	71	1.78	1.00
10_D_B02_2010_12_17_2	2	order	Actinomycetales	147	3.69	0.99
10_D_B02_2010_12_17_2	2	family	Actinomycetaceae	94	2.36	0.98
10_D_B02_2010_12_17_2	2	family	Coriobacteriaceae	71	1.78	1.00
10_D_B02_2010_12_17_2	2	family	Corynebacteriaceae	9	0.23	0.98
10_D_B02_2010_12_17_2	2	family	Leptotrichiaceae	112	2.81	1.00
10_D_B02_2010_12_17_2	2	family	Streptococcaceae	2	0.05	1.00
10_D_B02_2010_12_17_2	2	family	Eubacteriaceae	48	1.20	0.99
10_D_B02_2010_12_17_2	2	family	Neisseriaceae	6	0.15	1.00
10_D_B02_2010_12_17_2	2	family	Veillonellaceae	52	1.30	0.99
10_D_B02_2010_12_17_2	2	family	Anaerolineaceae	1	0.03	0.97
10_D_B02_2010_12_17_2	2	family	Erysipelotrichaceae	7	0.18	1.00
10_D_B02_2010_12_17_2	2	family	Clostridiales_Incertae Sedis XIII	10	0.25	0.93
10_D_B02_2010_12_17_2	2	family	Prevotellaceae	406	10.18	0.99
10_D_B02_2010_12_17_2	2	family	Mycoplasmataceae	5	0.13	1.00
10_D_B02_2010_12_17_2	2	family	Fusobacteriaceae	206	5.16	1.00
10_D_B02_2010_12_17_2	2	family	Spirochaetaceae	360	9.02	0.99
10_D_B02_2010_12_17_2	2	family	Peptococcaceae 1	11	0.28	0.87
10_D_B02_2010_12_17_2	2	family	Synergistaceae	82	2.06	0.94
10_D_B02_2010_12_17_2	2	family	Campylobacteraceae	9	0.23	1.00
10_D_B02_2010_12_17_2	2	family	Porphyromonadaceae	1910	47.88	1.00
10_D_B02_2010_12_17_2	2	family	Peptostreptococcaceae	147	3.69	1.00
10_D_B02_2010_12_17_2	2	family	Lachnospiraceae	60	1.50	0.99
10_D_B02_2010_12_17_2	2	family	Clostridiales_Incertae Sedis XI	8	0.20	1.00
10_D_B02_2010_12_17_2	2	family	Chitinophagaceae	1	0.03	0.91
10_D_B02_2010_12_17_2	2	family	Bacteroidaceae	10	0.25	0.86
10_D_B02_2010_12_17_2	2	family	Flavobacteriaceae	9	0.23	1.00
